panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
2,08:14:46,26/09/24,436,9,4,-29.72,-45.62
3,08:14:46,26/09/24,748,15,10,,
1,08:24:39,26/09/24,284,6,4,,
2,08:24:39,26/09/24,548,11,6,30.00,-30.00
3,08:24:39,26/09/24,704,14,10,,
1,08:34:41,26/09/24,192,4,0,,
2,08:34:41,26/09/24,492,10,4,60.00,-30.00
3,08:34:41,26/09/24,544,11,6,,
1,08:44:41,26/09/24,252,5,0,,
2,08:44:41,26/09/24,800,16,14,90.00,-30.00
3,08:44:41,26/09/24,644,13,10,,
1,08:54:46,26/09/24,280,6,4,,
2,08:54:46,26/09/24,788,16,14,60.00,-30.00
3,08:54:46,26/09/24,832,17,14,,
1,09:04:41,26/09/24,392,8,4,,
2,09:04:41,26/09/24,756,16,10,90.00,-30.00
3,09:04:41,26/09/24,960,20,20,,
1,09:14:43,26/09/24,344,7,4,,
2,09:14:43,26/09/24,760,15,10,90.00,0.00
3,09:14:43,26/09/24,676,13,10,,
1,09:24:43,26/09/24,324,7,4,,
2,09:24:43,26/09/24,780,15,14,90.00,-30.00
3,09:24:43,26/09/24,1004,21,20,,
1,09:34:43,26/09/24,772,16,14,,
2,09:34:43,26/09/24,1460,29,42,90.00,0.00
3,09:34:43,26/09/24,2252,47,108,,
1,09:44:53,26/09/24,272,6,4,,
2,09:44:53,26/09/24,344,7,4,-30.97,-28.92
3,09:44:53,26/09/24,808,17,14,,
1,09:54:34,26/09/24,596,12,6,,
2,09:54:34,26/09/24,1136,23,26,90.00,0.00
3,09:54:34,26/09/24,1132,23,26,,
1,10:04:43,26/09/24,964,20,20,,
2,10:04:43,26/09/24,1600,32,52,90.00,0.00
3,10:04:43,26/09/24,1824,39,68,,
1,10:14:43,26/09/24,516,11,6,,
2,10:14:43,26/09/24,768,15,14,90.00,-30.00
3,10:14:43,26/09/24,1508,31,50,,
1,10:24:43,26/09/24,848,17,16,,
2,10:24:43,26/09/24,1392,28,40,90.00,0.00
3,10:24:43,26/09/24,1952,40,78,,
1,10:34:43,26/09/24,704,14,10,,
2,10:34:43,26/09/24,1216,24,30,90.00,0.00
3,10:34:43,26/09/24,2416,50,122,,
1,10:44:43,26/09/24,544,11,6,,
2,10:44:43,26/09/24,852,17,14,90.00,-30.00
3,10:44:43,26/09/24,1396,30,42,,
1,10:54:43,26/09/24,604,12,6,,
2,10:54:43,26/09/24,1148,22,26,90.00,-30.00
3,10:54:43,26/09/24,2036,42,88,,
1,11:04:43,26/09/24,288,6,4,,
2,11:04:43,26/09/24,608,12,6,90.00,-30.00
3,11:04:43,26/09/24,1024,21,22,,
1,11:14:51,26/09/24,496,10,6,,
