panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
3,15:33:43,02/10/24,3060,64,196,,
1,15:43:44,02/10/24,6216,127,792,,
2,15:43:44,02/10/24,5408,108,586,-24.17,49.38
3,15:43:44,02/10/24,4432,93,412,,
1,15:53:42,02/10/24,3968,81,322,,
2,15:53:42,02/10/24,3952,79,312,0.00,30.00
3,15:53:42,02/10/24,3216,67,216,,
1,16:03:43,02/10/24,4328,88,384,,
2,16:03:43,02/10/24,3972,79,314,0.00,30.00
3,16:03:43,02/10/24,2640,55,148,,
1,16:13:45,02/10/24,2080,42,88,,
2,16:13:45,02/10/24,1724,34,58,-21.30,52.70
3,16:13:45,02/10/24,1448,30,42,,
1,16:23:42,02/10/24,1812,37,68,,
2,16:23:42,02/10/24,1900,38,72,0.00,30.00
3,16:23:42,02/10/24,1560,32,52,,
1,16:33:43,02/10/24,2836,58,164,,
2,16:33:43,02/10/24,2680,53,144,0.00,30.00
3,16:33:43,02/10/24,2160,45,98,,
1,16:43:43,02/10/24,1732,35,62,,
2,16:43:43,02/10/24,1984,39,78,0.00,0.00
3,16:43:43,02/10/24,1592,33,52,,
1,16:53:44,02/10/24,924,19,16,,
2,16:53:44,02/10/24,840,17,14,-12.41,55.71
3,16:53:44,02/10/24,748,15,14,,
1,17:03:41,02/10/24,640,13,10,,
2,17:03:41,02/10/24,816,16,14,30.00,0.00
3,17:03:41,02/10/24,636,13,10,,
1,17:13:46,02/10/24,816,17,14,,
2,17:13:46,02/10/24,668,13,10,-0.92,56.58
3,17:13:46,02/10/24,724,15,10,,
1,17:23:47,02/10/24,400,8,4,,
2,17:23:47,02/10/24,476,10,4,-30.00,0.00
3,17:23:47,02/10/24,472,10,4,,
1,17:33:57,02/10/24,232,5,0,,
